"WORD - 52","Wunder - Unsure","Wunder - Doesn't know"
"corresponding",,
"contain",,
"passage",,
"conceivably",,
"assumption",,
"implausible",,
"superfluous",,
"incompatible",,
"exceptionally",,
"furthermore",,
"penalize",,
"vessel",,
"vulnerable",,
"instance",,
"presume",,
"justification",,
"exhibit",,
"dividend",,
"jointly",,
"shareholder",,
"permit",,
"reserve",,
"municipal",,
"data",,
"estimate",,
"remarkably",,
"consideration",,
"sole",,
"criterion",,
"inertia",,
"inductance","x",
"reconcile",,
"imperative",,
"pharmaceutical",,
"justified",,
"relative",,
"socioeconomic",,
"obligation",,
"characteristic",,
"distribution",,
"counter",,
"entitle",,
"commonsense",,
"brief",,
"consistency",,
"eliminate",,
"retention",,
"congestion",,
"implement",,
"evasion",,
"properly",,
"incur",,
"deficit",,
"urban",,
"rural",,
"correlation",,
"scarce",,
"extensive",,
"versatile",,
"paleontologist",,
"cite",,
"hatchling",,
"hypothesis",,
"tend",,
"respects",,
"attain",,
"factor",,
"benefit",,
"contribute",,
"refute",,
"centaur",,
"intuitively",,
"imprudent","x",
"prudent","x",
"spontaneously",,
"cautious",,
"resent",,
"enable",,
"substantial",,
"nevertheless",,
"superior",,
"dues",,
"precedure",,
"devote",,
"neural","x",
"exert",,
"proportional",,
"attributed",,
"attribution",,
"attribute",,
"ancient",,
"tone",,
"depict",,
"hymn",,
"manuscript",,
"composition",,
"deception",,
"wholly",,
"deceive",,
"clarify",,
"misinterpret",,
"conform",,
"principle",,
"moralist",,
"abduct",,
"extraterrestrial",,
"century",,
"promote",,
"detract",,
"stimulate",,
"criticism",,
"universality",,
"mere","x",
"generalization",,
"generalize",,
"overlook",,
"adverse",,
"trace",,
"pasteurize",,
"undergo",,
"widespread",,
"injurious",,
"welfare",,
"valve",,
"accordance",,
"condition",,
"exactly",,
"accompany",,
"seminar",,
"succession",,
"necessarily",,
"feature",,
"conscious",,
"ultraviolet",,
"indistinguishable",,
"privileges",,
"prohibitively",,
"panelist","x",
"counterargument",,
"eminence",,
"miniscule",,
"factionalism",,
"sought-after",,
"burdensome",,
"voluntarily",,
"acquisition",,
"demolish",,
"permissibility",,
"latter",,
"anesthesia",,
"dissolution",,
"via",,
"communal",,
"asocial",,
"intimate",,
"plankton",,
"phytoplankton",,
"impermissable",,
"exacerbate",,
"conscientious",,
"bias",,
"humanitarian",,
"specialized",,
"per-capita",,
"forage",,
"irrigation",,
"feasible",,
"unfeasible",,
"rely",,
"emergence",,
"recession",,
"precondition",,
"collective",,
"equate",,
"preservation",,
"relevant",,
"philosopher",,
"premise",,
"analogy",,
"rebuttal",,
"terminology",,
"contemporary",,
"commonplace",,
"detoxify",,
"psychoactive",,
"ingest",,
"contort",,
"carnivorous",,
"infrastructure",,
"periodic",,
"reconstruction",,
"necessitate",,
"continuous",,
"urgency",,
"manifest",,
"parachute",,
"neglect",,
"domestic",,
"forgo",,
"imported",,
"compatible",,
"organism",,
"indefinitely",,
"colony",,
"utopian",,
"inequity",,
"harmonious",,
