"WORD - 52","truncated for regex","Wunder - Doesn't know","what it shows up as in lsat"
"corresponding","correspond",,
"contain",,,
"passage","passag",,
"conceivably","conceiv",,
"assumption","assum",,
"implausible",,,
"superfluous",,,
"incompatible","incompatib",,
"exceptionally","exceptional",,
"furthermore",,,
"penalize","penal",,
"vessel",,,
"vulnerable","vulnerab",,
"instance",,,
"presume","presum",,
"justification","justif",,
"exhibit",,,
"dividend",,,
"jointly","joint",,
"shareholder",,,
"permit","permi",,
"reserve","reserv",,
"municipal",,,
"data",,,
"estimate","estimat",,
"remarkably",,,
"consideration",,,
"sole",,,
"criterion",,,
"inertia",,,
"inductance",,,
"reconcile","reconcil",,
"imperative",,,
"pharmaceutical",,,
,,,
"relative",,,
"socioeconomic",,,
"obligation","oblig",,
"characteristic",,,
"distribution",,,
"counter",,,
"entitle",,,
"commonsense",,,
"brief",,,
"consistency",,,
"eliminate","eliminat",,
"retention",,,
"congestion","congest",,
"implement",,,
"evasion",,,
"properly",,,
"incur",,,
"deficit",,,
"urban",,,
"rural",,,
"correlation","correlat",,
"scarce",,,
"extensive",,,
"versatile",,,
"paleontologist","paleontolo",,
"cite",,,
"hatchling",,,
"hypothesis","hypothes",,
"tend",,,
"respects",,,
"attain",,,
"factor",,,
"benefit",,,
"contribute","contribut",,
"refute","refut",,
"centaur",,,
"intuitively","intuitive",,
"imprudent","impruden",,
"prudent","pruden",,
"spontaneously","spontaneous",,
"cautious",,,
"resent",,,
"enable","enabl",,
"substantial",,,
"nevertheless",,,
"superior",,,
"dues",,,
"procedure",,,
"devote","devot",,
"neural",,,
"exert",,,
"proportional",,,
"attributed / attribution / attribute","attribut",,
"ancient",,,
"tone",,,
"depict",,,
"hymn",,,
"manuscript",,,
"composition",,,
"deception",,,
"wholly",,,
"deceive",,,
"clarify",,,
"misinterpret",,,
"conform",,,
"principle",,,
"moralist",,,
"abduct",,,
"extraterrestrial",,,
"century",,,
"promote",,,
"detract",,,
"stimulate","stimul",,
"criticism",,,
"universality","universal",,
"mere",,,
"generalization / generalize","generaliz",,
"overlook",,,
"adverse","advers",,
"trace",,,
"pasteurize","pasteuriz",,
"undergo",,,
"widespread",,,
"injurious",,,
"welfare",,,
"valve",,,
"accordance",,,
"condition",,,
"exactly",,,
"accompany",,,
"seminar",,,
"succession",,,
"necessarily",,,
"feature",,,
"conscious",,,
"ultraviolet",,,
"indistinguishable",,,
"privileges","privilege",,
"prohibitively","prohibitive",,
"panelist",,,
"counterargument",,,
"eminence","eminen",,
"miniscule",,,
"factionalism",,,
"sought-after",,,
"burdensome",,,
"voluntarily","voluntar",,
"acquisition",,,
"demolish",,,
"permissibility",,,
"latter",,,
"anesthesia",,,
"dissolution",,,
"via",,,
"communal",,,
"asocial",,,
"intimate",,,
"phytoplankton / plankton","plankton",,
"impermissible",,,
"exacerbate",,,
"conscientious",,,
"bias",,,
"humanitarian",,,
"specialized","speciali",,
"per-capita",,,
"forage","forag",,
"irrigation","irrigat",,
"unfeasible",,,
"rely",,,
"emergence",,,
"recession",,,
"precondition",,,
"collective",,,
"equate",,,
"preservation",,,
"relevant",,,
"philosopher",,,
"premise",,,
"analogy",,,
"rebuttal",,,
"terminology",,,
"contemporary",,,
"commonplace",,,
"detoxify","detoxi",,
"psychoactive",,,
"ingest",,,
"contort",,,
"carnivorous",,,
"infrastructure",,,
"periodic",,,
"reconstruction",,,
"necessitate",,,
"continuous",,,
"urgency",,,
"manifest",,,
"parachute","parachut",,
"neglect",,,
"domestic",,,
"forgo",,,
"imported",,,
"compatible","compatib",,
"organism",,,
"indefinitely","indefinite",,
"colony",,,
"utopian",,,
"inequity",,,
"harmonious",,,
"sociopolitical",,,
"socialist",,,
"realism",,,
"compatriot",,,
"assert",,,
"medium",,,
"nonliterate",,,
"motif",,,
"salient",,,
"strata",,,
"folklorist",,,
"personify","personif",,
"embody","embod",,
"archetypal",,,
"protagonist",,,
"derive",,,
"initiatory",,,
"denounce",,,
"acute",,,
"juxtaposition","juxtapos",,
"analogous / disanalogous",,,
"dialectical","dialectic",,
"Marxist","Marx",,
"component",,,
"vivid",,,
,,,
"narrative",,,
"synthesize","synthesi",,
"binary",,,
"censorship",,,
"prefatory",,,
"experimental",,,
"unprecedented",,,
"transformative",,,
"disenchantment","disenchant",,
"vicissitudes","vicissitude","x",
"aptness","apt",,
"perniciousness","pernicious",,
"sap",,,
"vitality",,,
"formulaic",,,
"unfathomable",,,
"squarely",,,
"historiographic","historiograph",,
"putative",,,
"constraint",,,
"diversion",,,
"conformity",,,
"reversal",,,
"linear",,,
"canonical",,,
